shop,地址,place ID,urls
Cama_高雄五甲店,高雄市鳳山區五甲二路669號,ChIJ-yoC1kUDbjQRuldFn1aQUhA,"https://www.google.com/maps/place/cama+caf%C3%A9%E9%AB%98%E9%9B%84%E4%BA%94%E7%94%B2%E5%BA%97/@22.5940372,120.326988,17z/data=!3m1!4b1!4m6!3m5!1s0x346e035fb5bc8493:0x64b6fa858f077d37!8m2!3d22.5940372!4d120.3295629!16s%2Fg%2F11ssytqn08?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_市府晴朗店(經典),高雄市苓雅區苓雅一路238號,ChIJCWnZFpsEbjQRlolefroI1s0,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%B8%82%E5%BA%9C%E6%99%B4%E6%9C%97%E5%BA%97/@22.6212095,120.2922438,15z/data=!3m2!4b1!5s0x346e049653b8413f:0x475afda60ba9f132!4m6!3m5!1s0x346e051b71edbcc9:0x1f8ea5cefc6fc691!8m2!3d22.6212106!4d120.3106979!16s%2Fg%2F11nmctz4sr?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_高雄明華店,高雄市左營區明華一路205號,ChIJUT-SeAMFbjQRe_svrhQynnA,"https://www.google.com/maps/place/cama+caf%C3%A9+%E9%AB%98%E9%9B%84%E6%98%8E%E8%8F%AF%E5%BA%97/@22.6627924,120.3036246,17z/data=!3m1!4b1!4m6!3m5!1s0x346e0503788df461:0x5cdcd2e341176b6b!8m2!3d22.6627924!4d120.3061995!16s%2Fg%2F11gzscthw?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_十全民族店,高雄市三民區十全一路34號,ChIJNZoRQ-8EbjQRJbv8yBNFBIA,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%8D%81%E5%85%A8%E6%B0%91%E6%97%8F%E5%BA%97/@22.6448812,120.2948841,15z/data=!3m1!4b1!4m6!3m5!1s0x346e04efa6809365:0xb650824d5edbb366!8m2!3d22.6448823!4d120.3133382!16s%2Fg%2F1q62k3y45?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_台南民族店,臺南市中西區民族路三段247號,ChIJdQXnoWh2bjQRAlPE18nIi6Q,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%8F%B0%E5%8D%97%E6%B0%91%E6%97%8F%E5%BA%97/@22.9995158,120.1907269,17z/data=!3m1!4b1!4m6!3m5!1s0x346e77d94408ce39:0xa1a541ab5d513a34!8m2!3d22.9995158!4d120.1933018!16s%2Fg%2F11tx5s02b2?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_台南新市店,臺南市新市區復興路52號,ChIJnWxps1d6bjQRTaYCD-nsgSw,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%8F%B0%E5%8D%97%E6%96%B0%E5%B8%82%E5%BA%97/@23.0812592,120.2930002,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7b1f90ca99ef:0x473a1016b51c4274!8m2!3d23.0812592!4d120.2955751!16s%2Fg%2F11lkzsw9ll?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_南科銘傳店,臺南市新市區銘傳街128巷2號,ChIJofbCeVx6bjQRR2UmsP__zt4,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%96%B0%E5%B8%82%E5%8D%97%E7%A7%91%E9%8A%98%E5%82%B3%E5%BA%97/@23.0743084,120.2868141,17z/data=!3m1!4b1!4m6!3m5!1s0x346e7b665621ee63:0xbcf28eecc63a6a4f!8m2!3d23.0743084!4d120.289389!16s%2Fg%2F11n820g_mn?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_天母中山店,臺北市士林區中山北路六段41號,ChIJ-2OmRZeuQjQRvlDUBlo5FX8,"https://www.google.com/maps/place/cama+caf%C3%A9+%E5%A4%A9%E6%AF%8D%E4%B8%AD%E5%B1%B1%E5%BA%97/@25.1037693,121.5062276,15z/data=!3m1!4b1!4m6!3m5!1s0x3442af88f0405eb5:0xc9f0291f80d59e03!8m2!3d25.1037704!4d121.5246817!16s%2Fg%2F11nfv_sgpf?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_新營民治店,臺南市新營區民治路312號,ChIJBSVtr9aFbjQRfDvDuDzGMQ0,"https://www.google.com/maps/place/cama+caf%C3%A9+%E6%96%B0%E7%87%9F%E6%B0%91%E6%B2%BB%E5%BA%97/@23.3069601,120.3010844,17z/data=!3m1!4b1!4m6!3m5!1s0x346e854699f7ec6f:0xf47e73f86da9ec3f!8m2!3d23.3069601!4d120.3036593!16s%2Fg%2F11td5nbsxr?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
Cama_秋紅谷朝富店,臺中市西屯區朝富路50號,ChIJsRwA4vM9aTQRkj2vJcSnDec,"https://www.google.com/maps/place/cama+caf%C3%A9+%E7%A7%8B%E7%B4%85%E8%B0%B7%E6%9C%9D%E5%AF%8C%E5%BA%97/@24.1665224,120.6346856,17z/data=!3m1!4b1!4m6!3m5!1s0x34693d73f78aa4b1:0xbfb81b440df605fd!8m2!3d24.1665224!4d120.6372605!16s%2Fg%2F11t3cv2sgh?authuser=1&entry=ttu&g_ep=EgoyMDI1MDExNS4wIKXMDSoASAFQAw%3D%3D"
